id,choice,combo,cage
T12,lblue,lblue-yellow,1A
T12,yellow,lblue-yellow,1A
T11,lblue,lblue-yellow,1A
T12,yellow,lblue-yellow,1A
T12,yellow,lblue-yellow,1A
T12,yellow,lblue-yellow,1A
T17,yellow,lblue-yellow,1A
T12,yellow,lblue-yellow,1A
T11,lblue,lblue-yellow,1A
T12,yellow,lblue-yellow,1A
T12,yellow,lblue-yellow,1A
T12,lblue,lblue-yellow,1A
T12,lblue,lblue-yellow,1A
T12,yellow,lblue-yellow,1A
T12,lblue,lblue-yellow,1A
T12,yellow,lblue-yellow,1A
T12,yellow,lblue-yellow,1A
T12,yellow,lblue-yellow,1A
T12,lblue,lblue-yellow,1A
T12,yellow,lblue-yellow,1A
T11,lblue,lblue-yellow,1A
T12,lblue,lblue-yellow,1A
T12,lblue,lblue-yellow,1A
T12,lblue,lblue-yellow,1A
T12,lblue,lblue-yellow,1A
T12,lblue,lblue-yellow,1A
T11,lblue,lblue-yellow,1A
T12,yellow,lblue-yellow,1A
T12,lblue,lblue-yellow,1A
T11,lblue,lblue-yellow,1A
T12,lblue,lblue-yellow,1A
T12,yellow,lblue-yellow,1A
T12,lblue,lblue-yellow,1A
T12,yellow,lblue-yellow,1A
T12,lblue,lblue-yellow,1A
T12,yellow,lblue-yellow,1A
T12,yellow,lblue-yellow,1A
T12,yellow,lblue-yellow,1A
T12,yellow,lblue-yellow,1A
T12,lblue,lblue-yellow,1A
T12,yellow,lblue-yellow,1A
T12,yellow,lblue-yellow,1A
T12,lblue,lblue-yellow,1A
T12,lblue,lblue-yellow,1A
T12,yellow,lblue-yellow,1A
T12,yellow,lblue-yellow,1A
T12,yellow,lblue-yellow,1A
T11,lblue,lblue-yellow,1A
T11,lblue,lblue-yellow,1A
T11,lblue,lblue-yellow,1A
T11,lblue,lblue-yellow,1A
T11,lblue,lblue-yellow,1A
T11,lblue,lblue-yellow,1A
T11,lblue,lblue-yellow,1A
T11,yellow,lblue-yellow,1A
T11,lblue,lblue-yellow,1A
T11,lblue,lblue-yellow,1A
T12,lblue,lblue-yellow,1A
T12,yellow,lblue-yellow,1A
T12,yellow,lblue-yellow,1A
T12,yellow,lblue-yellow,1A
T12,yellow,lblue-yellow,1A
T12,yellow,lblue-yellow,1A
T12,yellow,lblue-yellow,1A
T12,yellow,lblue-yellow,1A
T12,yellow,lblue-yellow,1A
T12,yellow,lblue-yellow,1A
T12,yellow,lblue-yellow,1A
T12,lblue,lblue-yellow,1A
T12,yellow,lblue-yellow,1A
T12,yellow,lblue-yellow,1A
T12,lblue,lblue-yellow,1A
T12,yellow,lblue-yellow,1A
T12,lblue,lblue-yellow,1A
T12,yellow,lblue-yellow,1A
T12,yellow,lblue-yellow,1A
T12,yellow,lblue-yellow,1A
T12,lblue,lblue-yellow,1A
T12,yellow,lblue-yellow,1A
T12,yellow,lblue-yellow,1A
T12,yellow,lblue-yellow,1A
T12,yellow,lblue-yellow,1A
T12,yellow,lblue-yellow,1A
T12,yellow,lblue-yellow,1A
T12,yellow,lblue-yellow,1A
T12,yellow,lblue-yellow,1A
T12,yellow,lblue-yellow,1A
T11,lblue,lblue-yellow,1A
T11,lblue,lblue-yellow,1A
T11,lblue,lblue-yellow,1A
T11,lblue,lblue-yellow,1A
T11,lblue,lblue-yellow,1A
T11,lblue,lblue-yellow,1A
T11,yellow,lblue-yellow,1A
T11,lblue,lblue-yellow,1A
T11,lblue,lblue-yellow,1A
T11,lblue,lblue-yellow,1A
T11,lblue,lblue-yellow,1A
T17,blue,blue-yellow,1A
T10,yellow,blue-yellow,1A
T10,yellow,blue-yellow,1A
T10,yellow,blue-yellow,1A
T17,blue,blue-yellow,1A
T10,blue,blue-yellow,1A
T11,yellow,blue-yellow,1A
T12,blue,blue-yellow,1A
T12,blue,blue-yellow,1A
T17,blue,blue-yellow,1A
T12,blue,blue-yellow,1A
T10,yellow,blue-yellow,1A
T10,blue,blue-yellow,1A
T11,yellow,blue-yellow,1A
T12,blue,blue-yellow,1A
T12,blue,blue-yellow,1A
T17,blue,blue-yellow,1A
T17,yellow,blue-yellow,1A
T10,yellow,blue-yellow,1A
T12,blue,blue-yellow,1A
T11,yellow,blue-yellow,1A
T12,yellow,blue-yellow,1A
T10,yellow,blue-yellow,1A
T17,blue,blue-yellow,1A
T10,blue,blue-yellow,1A
T17,blue,blue-yellow,1A
T11,yellow,blue-yellow,1A
T12,blue,blue-yellow,1A
T12,blue,blue-yellow,1A
T10,yellow,blue-yellow,1A
T10,blue,blue-yellow,1A
T12,yellow,blue-yellow,1A
T17,blue,blue-yellow,1A
T10,yellow,blue-yellow,1A
T11,yellow,blue-yellow,1A
T17,blue,blue-yellow,1A
T12,yellow,blue-yellow,1A
T17,blue,blue-yellow,1A
T11,yellow,blue-yellow,1A
T17,yellow,blue-yellow,1A
T10,blue,blue-yellow,1A
T12,blue,blue-yellow,1A
T12,blue,blue-yellow,1A
T10,blue,blue-yellow,1A
T11,yellow,blue-yellow,1A
T10,blue,blue-yellow,1A
T12,yellow,blue-yellow,1A
T12,blue,blue-yellow,1A
T10,yellow,blue-yellow,1A
T11,yellow,blue-yellow,1A
T10,yellow,blue-yellow,1A
T12,yellow,blue-yellow,1A
T11,blue,blue-yellow,1A
T10,blue,blue-yellow,1A
T12,yellow,blue-yellow,1A
T10,blue,blue-yellow,1A
T17,yellow,blue-yellow,1A
T12,blue,blue-yellow,1A
T12,blue,blue-yellow,1A
T10,blue,blue-yellow,1A
T11,yellow,blue-yellow,1A
T12,yellow,blue-yellow,1A
T10,blue,blue-yellow,1A
T12,blue,blue-yellow,1A
T10,blue,blue-yellow,1A
T11,yellow,blue-yellow,1A
T12,blue,blue-yellow,1A
T10,blue,blue-yellow,1A
T10,yellow,blue-yellow,1A
T11,blue,blue-yellow,1A
T11,yellow,blue-yellow,1A
T12,blue,blue-yellow,1A
T11,blue,blue-yellow,1A
T10,blue,blue-yellow,1A
T10,blue,blue-yellow,1A
T11,blue,blue-yellow,1A
T10,blue,blue-yellow,1A
T10,yellow,blue-yellow,1A
T11,yellow,blue-yellow,1A
T12,blue,blue-yellow,1A
T10,yellow,blue-yellow,1A
T11,blue,blue-yellow,1A
T10,blue,blue-yellow,1A
T10,yellow,blue-yellow,1A
T12,yellow,blue-yellow,1A
T12,blue,blue-yellow,1A
T10,yellow,blue-yellow,1A
T11,blue,blue-yellow,1A
T12,blue,blue-yellow,1A
T11,yellow,blue-yellow,1A
T10,blue,blue-yellow,1A
T11,blue,blue-yellow,1A
T10,blue,blue-yellow,1A
T10,yellow,blue-yellow,1A
T10,blue,blue-yellow,1A
T12,yellow,blue-yellow,1A
T11,yellow,blue-yellow,1A
T10,blue,blue-yellow,1A
T11,blue,blue-yellow,1A
T10,blue,blue-yellow,1A
T12,yellow,blue-yellow,1A
T10,blue,blue-yellow,1A
T10,yellow,blue-yellow,1A
T10,yellow,blue-yellow,1A
T12,yellow,blue-yellow,1A
T10,blue,blue-yellow,1A
T10,blue,blue-yellow,1A
T10,blue,blue-yellow,1A
T10,blue,blue-yellow,1A
T10,blue,blue-yellow,1A
T10,yellow,blue-yellow,1A
T10,yellow,blue-yellow,1A
T10,yellow,blue-yellow,1A
T10,yellow,blue-yellow,1A
T10,yellow,blue-yellow,1A
T17,blue,blue-yellow,1A
T17,yellow,blue-yellow,1A
T17,blue,blue-yellow,1A
T10,yellow,blue-yellow,1A
T10,blue,blue-yellow,1A
T17,blue,blue-yellow,1A
T10,yellow,blue-yellow,1A
T12,yellow,blue-yellow,1A
T10,blue,blue-yellow,1A
T12,yellow,blue-yellow,1A
T10,yellow,blue-yellow,1A
T10,blue,blue-yellow,1A
T12,yellow,blue-yellow,1A
T10,yellow,blue-yellow,1A
T10,yellow,blue-yellow,1A
T10,blue,blue-yellow,1A
T10,yellow,blue-yellow,1A
T17,blue,blue-yellow,1A
T10,yellow,blue-yellow,1A
T10,yellow,blue-yellow,1A
T17,blue,blue-yellow,1A
T17,blue,blue-yellow,1A
T12,yellow,blue-yellow,1A
T17,blue,blue-yellow,1A
T10,blue,blue-yellow,1A
T10,yellow,blue-yellow,1A
T10,blue,blue-yellow,1A
T10,yellow,blue-yellow,1A
T10,blue,blue-yellow,1A
T10,yellow,blue-yellow,1A
T10,blue,blue-yellow,1A
T12,yellow,blue-yellow,1A
T17,yellow,blue-yellow,1A
T10,yellow,blue-yellow,1A
T10,blue,blue-yellow,1A
T10,yellow,blue-yellow,1A
T10,yellow,blue-yellow,1A
T10,blue,blue-yellow,1A
T10,yellow,blue-yellow,1A
T10,yellow,blue-yellow,1A
T10,blue,blue-yellow,1A
T17,blue,blue-yellow,1A
T10,yellow,blue-yellow,1A
T10,yellow,blue-yellow,1A
T12,yellow,blue-yellow,1A
T12,yellow,blue-yellow,1A
T10,blue,blue-yellow,1A
T10,blue,blue-yellow,1A
T12,yellow,blue-yellow,1A
T10,yellow,blue-yellow,1A
T12,yellow,blue-yellow,1A
T10,yellow,blue-yellow,1A
T10,yellow,blue-yellow,1A
T10,yellow,blue-yellow,1A
T10,yellow,blue-yellow,1A
T12,blue,blue-yellow,1A
T12,yellow,blue-yellow,1A
T12,blue,blue-yellow,1A
T12,yellow,blue-yellow,1A
T10,yellow,blue-yellow,1A
T10,blue,blue-yellow,1A
T10,blue,blue-yellow,1A
T10,yellow,blue-yellow,1A
T10,blue,blue-yellow,1A
T12,blue,blue-yellow,1A
T12,yellow,blue-yellow,1A
T10,yellow,blue-yellow,1A
T10,yellow,blue-yellow,1A
T10,yellow,blue-yellow,1A
T12,blue,blue-yellow,1A
T12,blue,blue-yellow,1A
T10,blue,blue-yellow,1A
T10,blue,blue-yellow,1A
T10,yellow,blue-yellow,1A
T10,blue,blue-yellow,1A
T12,blue,blue-yellow,1A
T10,blue,blue-yellow,1A
T10,yellow,blue-yellow,1A
T10,yellow,blue-yellow,1A
T12,blue,blue-yellow,1A
T12,blue,blue-yellow,1A
T12,yellow,blue-yellow,1A
T12,yellow,blue-yellow,1A
T12,yellow,blue-yellow,1A
T12,yellow,blue-yellow,1A
T12,yellow,blue-yellow,1A
T10,yellow,blue-yellow,1A
T10,yellow,blue-yellow,1A
T10,yellow,blue-yellow,1A
T10,blue,blue-yellow,1A
T10,yellow,blue-yellow,1A
T17,blue,blue-yellow,1A
T10,blue,blue-yellow,1A
T12,yellow,blue-yellow,1A
T10,yellow,blue-yellow,1A
T10,yellow,blue-yellow,1A
T10,yellow,blue-yellow,1A
T10,yellow,blue-yellow,1A
T10,blue,blue-yellow,1A
T12,yellow,blue-yellow,1A
T10,yellow,blue-yellow,1A
T12,yellow,blue-yellow,1A
T12,blue,blue-yellow,1A
T10,blue,blue-yellow,1A
T12,yellow,blue-yellow,1A
T10,yellow,blue-yellow,1A
T12,yellow,blue-yellow,1A
T10,blue,blue-yellow,1A
T10,yellow,blue-yellow,1A
T10,yellow,blue-yellow,1A
T10,yellow,blue-yellow,1A
T12,yellow,blue-yellow,1A
T12,blue,blue-yellow,1A
T12,yellow,blue-yellow,1A
T10,yellow,blue-yellow,1A
T17,blue,blue-yellow,1A
T12,yellow,blue-yellow,1A
T10,yellow,blue-yellow,1A
T10,yellow,blue-yellow,1A
T12,yellow,blue-yellow,1A
T11,yellow,blue-yellow,1A
T11,yellow,blue-yellow,1A
T11,yellow,blue-yellow,1A
T10,blue,blue-yellow,1A
T10,yellow,blue-yellow,1A
T12,yellow,blue-yellow,1A
T12,yellow,blue-yellow,1A
T12,yellow,blue-yellow,1A
T12,yellow,blue-yellow,1A
T12,yellow,blue-yellow,1A
T10,yellow,blue-yellow,1A
T12,blue,blue-yellow,1A
T12,yellow,blue-yellow,1A
T12,yellow,blue-yellow,1A
T12,blue,blue-yellow,1A
T12,blue,blue-yellow,1A
T12,blue,blue-yellow,1A
T10,blue,blue-yellow,1A
T10,yellow,blue-yellow,1A
T10,blue,blue-yellow,1A
T10,yellow,blue-yellow,1A
T10,yellow,blue-yellow,1A
T12,yellow,blue-yellow,1A
T12,blue,blue-yellow,1A
T12,yellow,blue-yellow,1A
T12,yellow,blue-yellow,1A
T12,yellow,blue-yellow,1A
T12,yellow,blue-yellow,1A
T12,purple,pink-purple,1A
T12,purple,pink-purple,1A
T12,purple,pink-purple,1A
T10,purple,pink-purple,1A
T12,purple,pink-purple,1A
T17,purple,pink-purple,1A
T10,purple,pink-purple,1A
T17,purple,pink-purple,1A
T12,purple,pink-purple,1A
T10,purple,pink-purple,1A
T12,purple,pink-purple,1A
T12,purple,pink-purple,1A
T17,purple,pink-purple,1A
T12,purple,pink-purple,1A
T17,purple,pink-purple,1A
T17,purple,pink-purple,1A
T17,purple,pink-purple,1A
T17,purple,pink-purple,1A
T17,purple,pink-purple,1A
T17,purple,pink-purple,1A
T17,purple,pink-purple,1A
T12,purple,pink-purple,1A
T12,purple,pink-purple,1A
T12,purple,pink-purple,1A
T12,purple,pink-purple,1A
T12,purple,pink-purple,1A
T10,purple,pink-purple,1A
T17,purple,pink-purple,1A
T11,purple,pink-purple,1A
T11,purple,pink-purple,1A
T10,purple,pink-purple,1A
T11,purple,pink-purple,1A
T12,purple,pink-purple,1A
T12,purple,pink-purple,1A
T12,purple,pink-purple,1A
T12,purple,pink-purple,1A
T12,purple,pink-purple,1A
T12,purple,pink-purple,1A
T10,pink,pink-purple,1A
T10,purple,pink-purple,1A
T12,purple,pink-purple,1A
T12,purple,pink-purple,1A
T10,purple,pink-purple,1A
T12,purple,pink-purple,1A
T12,purple,pink-purple,1A
T10,purple,pink-purple,1A
T12,purple,pink-purple,1A
T12,purple,pink-purple,1A
T12,purple,pink-purple,1A
T10,purple,pink-purple,1A
T12,purple,pink-purple,1A
T12,purple,pink-purple,1A
T12,purple,pink-purple,1A
T12,purple,pink-purple,1A
T10,purple,pink-purple,1A
T12,purple,pink-purple,1A
T10,purple,pink-purple,1A
T17,purple,pink-purple,1A
T17,purple,pink-purple,1A
T12,purple,pink-purple,1A
T12,purple,pink-purple,1A
T12,purple,pink-purple,1A
T12,purple,pink-purple,1A
T10,purple,pink-purple,1A
T12,purple,pink-purple,1A
T12,purple,pink-purple,1A
T17,purple,pink-purple,1A
T11,purple,pink-purple,1A
T17,purple,pink-purple,1A
T12,pink,pink-purple,1A
T12,purple,pink-purple,1A
T12,purple,pink-purple,1A
T12,purple,pink-purple,1A
T12,purple,pink-purple,1A
T12,purple,pink-purple,1A
T12,purple,pink-purple,1A
T17,purple,pink-purple,1A
T12,purple,pink-purple,1A
T12,purple,pink-purple,1A
T12,purple,pink-purple,1A
T12,purple,pink-purple,1A
T17,purple,pink-purple,1A
T12,purple,pink-purple,1A
T12,purple,pink-purple,1A
T12,purple,pink-purple,1A
T17,purple,pink-purple,1A
T10,purple,pink-purple,1A
T10,purple,pink-purple,1A
T12,purple,pink-purple,1A
T10,purple,pink-purple,1A
T10,purple,pink-purple,1A
T12,purple,pink-purple,1A
T12,purple,pink-purple,1A
T12,purple,pink-purple,1A
T12,red,red-purple,1A
T12,purple,red-purple,1A
T12,purple,red-purple,1A
T10,red,red-purple,1A
T12,red,red-purple,1A
T10,red,red-purple,1A
T10,red,red-purple,1A
T12,red,red-purple,1A
T12,purple,red-purple,1A
T10,red,red-purple,1A
T11,red,red-purple,1A
T17,red,red-purple,1A
T10,red,red-purple,1A
T12,red,red-purple,1A
T17,purple,red-purple,1A
T12,purple,red-purple,1A
T10,purple,red-purple,1A
T11,red,red-purple,1A
T17,red,red-purple,1A
T17,purple,red-purple,1A
T10,red,red-purple,1A
T12,red,red-purple,1A
T12,purple,red-purple,1A
T10,red,red-purple,1A
T12,red,red-purple,1A
T10,red,red-purple,1A
T17,purple,red-purple,1A
T11,red,red-purple,1A
T12,purple,red-purple,1A
T11,purple,red-purple,1A
T10,red,red-purple,1A
T17,red,red-purple,1A
T17,purple,red-purple,1A
T11,red,red-purple,1A
T17,red,red-purple,1A
T10,red,red-purple,1A
T12,purple,red-purple,1A
T17,purple,red-purple,1A
T10,purple,red-purple,1A
T17,red,red-purple,1A
T12,purple,red-purple,1A
T10,red,red-purple,1A
T11,red,red-purple,1A
T10,red,red-purple,1A
T12,red,red-purple,1A
T17,purple,red-purple,1A
T10,red,red-purple,1A
T12,red,red-purple,1A
T17,red,red-purple,1A
T11,purple,red-purple,1A
T10,red,red-purple,1A
T17,red,red-purple,1A
T12,purple,red-purple,1A
T10,red,red-purple,1A
T17,red,red-purple,1A
T11,purple,red-purple,1A
T10,red,red-purple,1A
T17,purple,red-purple,1A
T11,purple,red-purple,1A
T12,purple,red-purple,1A
T17,red,red-purple,1A
T17,red,red-purple,1A
T17,purple,red-purple,1A
T17,purple,red-purple,1A
T11,purple,red-purple,1A
T10,purple,red-purple,1A
T12,red,red-purple,1A
T10,red,red-purple,1A
T10,red,red-purple,1A
T12,purple,red-purple,1A
T17,purple,red-purple,1A
T10,red,red-purple,1A
T17,purple,red-purple,1A
T11,red,red-purple,1A
T17,purple,red-purple,1A
T17,purple,red-purple,1A
T10,red,red-purple,1A
T11,purple,red-purple,1A
T12,red,red-purple,1A
T12,red,red-purple,1A
T12,red,red-purple,1A
T11,purple,red-purple,1A
T17,purple,red-purple,1A
T10,red,red-purple,1A
T12,red,red-purple,1A
T17,red,red-purple,1A
T17,purple,red-purple,1A
T12,red,red-purple,1A
T10,red,red-purple,1A
T10,red,red-purple,1A
T11,purple,red-purple,1A
T12,red,red-purple,1A
T10,red,red-purple,1A
T12,purple,red-purple,1A
T17,red,red-purple,1A
T10,red,red-purple,1A
T17,purple,red-purple,1A
T12,red,red-purple,1A
T17,purple,red-purple,1A
T10,red,red-purple,1A
T12,red,red-purple,1A
T12,purple,red-purple,1A
T10,red,red-purple,1A
T12,red,red-purple,1A
T12,purple,red-purple,1A
T17,red,red-purple,1A
T17,red,red-purple,1A
T10,red,red-purple,1A
T12,red,red-purple,1A
T10,red,red-purple,1A
T12,red,red-purple,1A
T10,red,red-purple,1A
T12,red,red-purple,1A
T10,red,red-purple,1A
T12,purple,red-purple,1A
T17,red,red-purple,1A
T12,red,red-purple,1A
T17,red,red-purple,1A
T10,red,red-purple,1A
T10,red,red-purple,1A
T10,red,red-purple,1A
T10,red,red-purple,1A
T10,red,red-purple,1A
T10,red,red-purple,1A
T12,purple,red-purple,1A
T12,red,red-purple,1A
T12,red,red-purple,1A
T10,red,red-purple,1A
T10,red,red-purple,1A
T12,red,red-purple,1A
T10,red,red-purple,1A
T12,red,red-purple,1A
T12,red,red-purple,1A
T10,red,red-purple,1A
T10,red,red-purple,1A
T12,red,red-purple,1A
T12,red,red-purple,1A
T10,red,red-purple,1A
T10,red,red-purple,1A
T12,purple,red-purple,1A
T10,red,red-purple,1A
T17,purple,red-purple,1A
T17,purple,red-purple,1A
T10,red,red-purple,1A
T12,red,red-purple,1A
T12,red,red-purple,1A
T17,red,red-purple,1A
T17,purple,red-purple,1A
T10,red,red-purple,1A
T17,red,red-purple,1A
T17,purple,red-purple,1A
T17,red,red-purple,1A
T10,red,red-purple,1A
T17,red,red-purple,1A
T17,purple,red-purple,1A
T17,purple,red-purple,1A
T10,red,red-purple,1A
T10,red,red-purple,1A
T10,red,red-purple,1A
T10,red,red-purple,1A
T17,red,red-purple,1A
T17,purple,red-purple,1A
T10,red,red-purple,1A
T12,red,red-purple,1A
T17,purple,red-purple,1A
T10,red,red-purple,1A
T17,red,red-purple,1A
T11,purple,red-purple,1A
T17,red,red-purple,1A
T10,red,red-purple,1A
T17,purple,red-purple,1A
T17,red,red-purple,1A
T10,red,red-purple,1A
T17,red,red-purple,1A
T17,purple,red-purple,1A
T17,red,red-purple,1A
T10,red,red-purple,1A
T17,red,red-purple,1A
T10,red,red-purple,1A
T12,red,red-purple,1A
T12,red,red-purple,1A
T10,red,red-purple,1A
T12,red,red-purple,1A
T12,red,red-purple,1A
T10,red,red-purple,1A
T17,red,red-purple,1A
T17,red,red-purple,1A
T10,red,red-purple,1A
T10,red,red-purple,1A
T10,red,red-purple,1A
T12,red,red-purple,1A
T12,red,red-purple,1A
T12,purple,red-purple,1A
T10,red,red-purple,1A
T10,red,red-purple,1A
T12,red,red-purple,1A
T12,red,red-purple,1A
T12,red,red-purple,1A
T12,red,red-purple,1A
T10,red,red-purple,1A
T12,red,red-purple,1A
T10,red,red-purple,1A
T12,red,red-purple,1A
T12,red,red-purple,1A
T17,purple,red-purple,1A
T17,purple,red-purple,1A
T17,red,red-purple,1A
T17,purple,red-purple,1A
T17,red,red-purple,1A
T17,purple,red-purple,1A
T17,red,red-purple,1A
T17,purple,red-purple,1A
T12,red,red-purple,1A
T12,red,red-purple,1A
T11,purple,red-purple,1A
T11,red,red-purple,1A
T11,red,red-purple,1A
T10,red,red-purple,1A
T10,red,red-purple,1A
T17,purple,red-purple,1A
T12,red,red-purple,1A
T12,red,red-purple,1A
T12,purple,red-purple,1A
T10,red,red-purple,1A
T10,red,red-purple,1A
T10,red,red-purple,1A
T10,red,red-purple,1A
T17,purple,red-purple,1A
T12,red,red-purple,1A
T17,purple,red-purple,1A
T17,red,red-purple,1A
T12,red,red-purple,1A
T12,red,red-purple,1A
T12,red,red-purple,1A
T10,red,red-purple,1A
T10,purple,red-purple,1A
T10,red,red-purple,1A
T10,red,red-purple,1A
T10,red,red-purple,1A
T10,red,red-purple,1A
T12,purple,red-purple,1A
T10,red,red-purple,1A
T10,red,red-purple,1A
T12,red,red-purple,1A
T10,red,red-purple,1A
T17,red,red-purple,1A
T17,purple,red-purple,1A
T10,red,red-purple,1A
T17,red,red-purple,1A
T17,purple,red-purple,1A
T10,red,red-purple,1A
T17,purple,red-purple,1A
T17,red,red-purple,1A
T17,purple,red-purple,1A
T11,red,red-purple,1A
T17,red,red-purple,1A
T11,red,red-purple,1A
T11,red,red-purple,1A
T11,red,red-purple,1A
T17,red,red-purple,1A
T11,purple,red-purple,1A
T11,red,red-purple,1A
T11,purple,red-purple,1A
T17,red,red-purple,1A
T17,red,red-purple,1A
T17,purple,red-purple,1A
T10,red,red-purple,1A
T17,purple,red-purple,1A
T17,red,red-purple,1A
T17,purple,red-purple,1A
T17,red,red-purple,1A
T17,red,red-purple,1A
